subj,name,days,status,reason,nomage,nomyear,nomchief,recess,party,potus,term,status2,reason2
1,"Wilson, James",3242,1,died,47,1789,0,0,f,Washington,1,1,3
2,"Jay, John",2079,2,resigned,43,1789,1,0,f,Washington,1,2,10
3,"Cushing, William",7527,1,died,57,1789,0,0,f,Washington,1,1,3
4,"Blair, John, Jr.",2091,2,health,57,1789,0,0,f,Washington,1,1,2
5,"Rutledge, John",383,2,resigned,50,1789,0,0,f,Washington,1,2,10
6,"Iredell, James",3448,1,died,38,1790,0,0,f,Washington,1,1,3
7,"Johnson, Thomas",163,2,health,58,1791,0,1,f,Washington,1,1,2
8,"Paterson, William",4929,1,died,47,1793,0,0,f,Washington,1,1,3
9,"Chase, Samuel",5613,1,died,54,1796,0,0,f,Washington,1,1,3
10,"Ellsworth, Oliver",1742,2,health,50,1796,1,0,f,Washington,1,1,2
11,"Washington, Bushrod",11254,1,died,36,1798,0,1,f,"Adams, John",1,1,3
12,"Moore, Alfred",1375,2,health,44,1799,0,0,f,"Adams, John",1,1,2
13,"Marshall, John",12570,1,died,45,1801,1,0,f,"Adams, John",1,1,3
14,"Johnson, William",11046,1,died,32,1804,0,0,dr,Jefferson,1,1,3
15,"Livingston, Henry Brockholst",5901,1,died,48,1806,0,1,dr,Jefferson,1,1,3
16,"Thomas, Todd",6853,1,died,42,1807,0,0,dr,Jefferson,1,1,3
17,"Duvall, Gabriel",8453,2,resigned,58,1811,0,0,dr,Madison,1,1,1
18,"Story, Joseph",12273,1,died,32,1811,0,0,dr,Madison,1,1,3
19,"Thompson, Smith",7413,1,died,55,1823,0,1,dr,Monroe,1,1,3
20,"Trimble, Robert",801,1,died,49,1826,0,0,dr,"Adams, J. Q.",1,1,3
21,"McLean, John",11406,1,died,43,1829,0,0,d,Jackson,1,1,3
22,"Baldwin, Henry",5207,1,died,49,1830,0,0,d,Jackson,1,1,3
23,"Wayne, James Moore",11860,1,died,45,1835,0,0,d,Jackson,1,1,3
24,"Taney, Roger Brooke",10425,1,died,58,1835,1,0,d,Jackson,1,1,3
25,"Barbour, Philip Pendelton",1750,1,died,51,1835,0,0,d,Jackson,1,1,3
26,"Catron, John",10256,1,died,51,1837,0,0,d,Jackson,1,1,3
27,"McKinley, John",5305,1,died,56,1837,0,1,d,Van Buren,1,1,3
28,"Daniel, Peter Vivian",6716,1,died,56,1841,0,0,d,Van Buren,1,1,3
29,"Nelson, Samuel",10136,2,retired,52,1845,0,0,d,Tyler,1,1,1
30,"Woodbury, Levi",2172,1,died,55,1845,0,1,d,Polk,1,1,3
31,"Grier, Robert Cooper",8575,2,health,52,1846,0,0,d,Polk,1,1,2
32,"Curtis, Benjamin Robbins",2182,2,resigned,41,1851,0,1,w,Fillmore,1,2,4
33,"Campbell, John Archibald",2941,2,resigned,41,1853,0,0,d,Pierce,1,2,10
34,"Clifford, Nathan",8586,1,died,54,1857,0,0,d,Buchanan,1,1,3
35,"Swayne, Noah Haynes",6937,2,health,57,1862,0,0,r,Lincoln,1,1,2
36,"Miller, Samuel Freeman",10311,1,died,46,1862,0,0,r,Lincoln,1,1,3
37,"Davis, David",5198,2,resigned,47,1862,0,1,r,Lincoln,1,2,10
38,"Field, Stephen Johnson",12614,2,health,46,1863,0,0,d,Lincoln,1,1,2
39,"Chase, Salmon Portland",3065,1,died,56,1863,1,0,r,Lincoln,1,1,3
40,"Strong, William",3928,2,retired,61,1870,0,0,r,Grant,1,2,6
41,"Bradley, Joseph P.",7975,1,died,57,1870,0,0,r,Grant,1,1,3
42,"Hunt, Ward",3305,2,health,62,1872,0,0,r,Grant,1,1,2
43,"Waite, Morrison Remick",5133,1,died,57,1874,1,0,w,Grant,1,1,3
44,"Harlan, John Marshall (I)",12360,1,died,44,1877,0,0,w,Hayes,1,1,3
45,"Woods, William Burnham",2320,1,died,56,1880,0,0,r,Hayes,1,1,3
46,"Matthews, Stanley",2866,1,died,56,1881,0,0,r,Garfield,1,1,3
47,"Gray, Horace",7553,1,died,53,1881,0,0,r,Arthur,1,1,3
48,"Blatchford, Samuel",4113,1,died,62,1882,0,0,r,Arthur,1,1,3
49,"Lamar, Lucius Quintus Cincinnatus",1832,1,died,62,1887,0,0,d,Cleveland,1,1,3
50,"Fuller, Melville Weston",7938,1,died,55,1888,1,0,d,Cleveland,1,1,3
51,"Brewer, David Josiah",7385,1,died,52,1889,0,0,r,Harrison,1,1,3
52,"Brown, Henry Billings",5621,2,health,53,1890,0,0,r,Harrison,1,1,2
53,"Shiras, George, Jr.",3787,2,retired,60,1892,0,0,r,Harrison,1,2,9
54,"Jackson, Howell Edmunds",887,1,died,60,1893,0,0,d,Harrison,1,1,3
55,"White, Edward Douglass",9929,1,died,48,1894,0,0,d,Cleveland,1,1,3
56,"Peckham, Rufus Wheeler",5039,1,died,57,1895,0,0,d,Cleveland,1,1,3
57,"McKenna, Joseph",9840,2,retired,54,1897,0,0,d,McKinley,1,2,1
58,"Holmes, Oliver Wendell, Jr",10627,2,retired,61,1902,0,1,d,"Roosevelt, T.",1,2,1
59,"Day, William Rufus",7196,2,retired,53,1903,0,0,r,"Roosevelt, T.",1,2,1
60,"Moody, William Henry",1434,2,health,52,1906,0,0,r,"Roosevelt, T.",1,1,2
61,"Lurton, Horace Harmon",1651,1,died,65,1909,0,0,d,Taft,1,1,3
62,"Hughes, Charles Evans",2070,2,resigned,48,1910,0,0,r,Taft,1,2,8
63,"Van Devanter, Willis",9647,2,retired,51,1910,0,0,r,Taft,1,2,1
64,"Lamar, Joseph Rucker",1825,1,died,53,1910,0,0,d,Taft,1,1,3
65,"Pitney, Mahlon",3940,2,health,54,1912,0,0,r,Taft,1,1,2
66,"McReynolds, James Clark",9608,2,retired,52,1914,0,0,d,Wilson,1,2,1
67,"Brandeis, Louis Dembitz",8288,2,retired,59,1916,0,0,r,Wilson,1,2,1
68,"Clarke, John Hessin",2170,2,resigned,58,1916,0,0,d,Wilson,1,2,10
